date,country,iso2,group,component,cycle,yoy_growth,qoq_annualised
1975-01-01,Australia,AU,Asia-Pacific,Consumption,0.8562584222324593,NA,NA
1975-04-01,Australia,AU,Asia-Pacific,Consumption,1.0617431342168455,NA,3.399598060821063
1975-07-01,Australia,AU,Asia-Pacific,Consumption,-0.31179592305176745,NA,-2.9143563701353514
1975-10-01,Australia,AU,Asia-Pacific,Consumption,-2.923837886403604,NA,-7.861432344521546
1976-01-01,Australia,AU,Asia-Pacific,Consumption,-1.7880045974592598,-0.05879270628561528,7.1410198286933735
1976-04-01,Australia,AU,Asia-Pacific,Consumption,-0.4657963096788091,1.0648520053679889,7.8941769074354795
1976-07-01,Australia,AU,Asia-Pacific,Consumption,1.1998779222568459,4.110424516733779,9.26793367532781
1976-10-01,Australia,AU,Asia-Pacific,Consumption,1.6277180120693222,7.152672981665731,4.30756151520626
1977-01-01,Australia,AU,Asia-Pacific,Consumption,0.8284087519456238,5.213417933426889,-0.6160003642619927
1977-04-01,Australia,AU,Asia-Pacific,Consumption,1.1834921371655673,4.236060242649131,3.984746144324447
1977-07-01,Australia,AU,Asia-Pacific,Consumption,0.7637782939144765,2.136312970434062,0.8689445864675349
1977-10-01,Australia,AU,Asia-Pacific,Consumption,0.20688891223226324,1.1361225786146179,0.3067999479284822
1978-01-01,Australia,AU,Asia-Pacific,Consumption,-0.08018594647050367,1.6345464596613013,1.3776951599247411
1978-04-01,Australia,AU,Asia-Pacific,Consumption,1.4993025704998357,2.8486555760474985,8.841182609869236
1978-07-01,Australia,AU,Asia-Pacific,Consumption,0.6410353240189528,2.4046168958365755,-0.9072101343761574
1978-10-01,Australia,AU,Asia-Pacific,Consumption,-1.0274939006818096,1.2937961291138222,-4.136483118962531
1979-01-01,Australia,AU,Asia-Pacific,Consumption,-0.5947959612205826,2.022109257388216,4.290947673022316
1979-04-01,Australia,AU,Asia-Pacific,Consumption,-0.7919221654660016,0.26240153137706557,1.802351705824634
1979-07-01,Australia,AU,Asia-Pacific,Consumption,-1.304665675357778,0.6335227082853834,0.5772745732571138
1979-10-01,Australia,AU,Asia-Pacific,Consumption,-1.5579149870529339,2.0819822712851987,1.6573551330367309
1980-01-01,Australia,AU,Asia-Pacific,Consumption,-0.9990012747241759,2.2466356052577297,4.94956100891244
1980-04-01,Australia,AU,Asia-Pacific,Consumption,-1.3519926618827793,2.131810082817154,1.3430496160623306
1980-07-01,Australia,AU,Asia-Pacific,Consumption,-1.277487052656073,2.7597925217117236,3.089204328835393
1980-10-01,Australia,AU,Asia-Pacific,Consumption,-1.028541832710944,3.2991555483071977,3.814807239418627
1981-01-01,Australia,AU,Asia-Pacific,Consumption,-1.2388271031264027,2.560318738212075,1.9942137685319494
1981-04-01,Australia,AU,Asia-Pacific,Consumption,0.014937714437708235,4.187720154014052,7.8526552792702375
1981-07-01,Australia,AU,Asia-Pacific,Consumption,1.6627310994385283,5.768875648891125,9.413826308343687
1981-10-01,Australia,AU,Asia-Pacific,Consumption,1.232785426467588,5.082868784180405,1.070779780575748
1982-01-01,Australia,AU,Asia-Pacific,Consumption,1.2839244500481313,5.32182485290793,2.9500380434420492
1982-04-01,Australia,AU,Asia-Pacific,Consumption,2.7607069485798776,5.508066822094015,8.597623156014578
1982-07-01,Australia,AU,Asia-Pacific,Consumption,1.8942613635050023,2.94536614040517,-0.8369764184116946
1982-10-01,Australia,AU,Asia-Pacific,Consumption,2.1967639273499233,3.622004258229161,3.7773322518717123
1983-01-01,Australia,AU,Asia-Pacific,Consumption,1.5885845682883366,2.9040096480843047,0.07805960286262348
1983-04-01,Australia,AU,Asia-Pacific,Consumption,0.2860870673028395,0.06827209798441203,-2.745327044384993
1983-07-01,Australia,AU,Asia-Pacific,Consumption,0.43194005044752726,1.03160699054623,3.016363151835577
1983-10-01,Australia,AU,Asia-Pacific,Consumption,-0.04496839978088054,0.21445473631906964,0.508723234963071
1984-01-01,Australia,AU,Asia-Pacific,Consumption,0.6170681719897182,1.460966472259706,5.064106546625169
1984-04-01,Australia,AU,Asia-Pacific,Consumption,-0.525650706093869,1.6124914725862638,-2.139227043078762
1984-07-01,Australia,AU,Asia-Pacific,Consumption,-2.5777129855229006,-0.5774205109403852,-5.743284782271019
1984-10-01,Australia,AU,Asia-Pacific,Consumption,-2.8313274936549346,-0.32956739497667087,1.5001356988179282
1985-01-01,Australia,AU,Asia-Pacific,Consumption,-1.4298811370919282,0.4493754185537213,8.179877800746738
1985-04-01,Australia,AU,Asia-Pacific,Consumption,-1.0724876596130035,2.0006711433415703,4.065955856072634
1985-07-01,Australia,AU,Asia-Pacific,Consumption,0.40597396543365705,5.5894258998284485,8.611734243676494
1985-10-01,Australia,AU,Asia-Pacific,Consumption,1.0223110857175959,6.519711232244063,5.221277028480387
1986-01-01,Australia,AU,Asia-Pacific,Consumption,-1.0044362518104102,3.150874267688053,-5.295470057477303
1986-04-01,Australia,AU,Asia-Pacific,Consumption,0.24129415682770228,4.0969196515765915,7.850137391626788
1986-07-01,Australia,AU,Asia-Pacific,Consumption,0.21234896505422599,2.6451676113925515,2.804726082940334
1986-10-01,Australia,AU,Asia-Pacific,Consumption,-0.707627710841961,1.1628706301028302,-0.7079108966784986
1987-01-01,Australia,AU,Asia-Pacific,Consumption,-1.138960807654124,2.810958422685772,1.2968811128544644
1987-04-01,Australia,AU,Asia-Pacific,Consumption,-1.3515877258053322,1.403144871714801,2.218883187742904
1987-07-01,Australia,AU,Asia-Pacific,Consumption,-0.6515392301442171,2.1796819680460544,5.910874468265348
1987-10-01,Australia,AU,Asia-Pacific,Consumption,-0.4441067905391498,3.3497679834727734,3.9724331650283773
1988-01-01,Australia,AU,Asia-Pacific,Consumption,-0.3831291917464952,3.8774829978603265,3.4077411704046767
1988-04-01,Australia,AU,Asia-Pacific,Consumption,-1.3024614764594689,3.1966679973422174,-0.5043768143295324
1988-07-01,Australia,AU,Asia-Pacific,Consumption,-0.6685879637023748,3.1451004509063907,5.704604282522041
1988-10-01,Australia,AU,Asia-Pacific,Consumption,0.12074609223362234,3.728588301199487,6.306384566200762
1989-01-01,Australia,AU,Asia-Pacific,Consumption,1.5151678088952794,5.048848522135607,8.688782054149158
1989-04-01,Australia,AU,Asia-Pacific,Consumption,1.749046211807024,6.1727092865950794,3.9910662435083566
1989-07-01,Australia,AU,Asia-Pacific,Consumption,1.8242968852974581,5.568361038218939,3.2872112890174776
1989-10-01,Australia,AU,Asia-Pacific,Consumption,1.8084773124385543,4.702804246963588,2.844157401179359
1990-01-01,Australia,AU,Asia-Pacific,Consumption,2.2070099466309876,3.6350900343068204,4.417925203522088
