date,component,country,rolling_corr
1975-01-01,GDP,Australia,NA
1975-04-01,GDP,Australia,NA
1975-07-01,GDP,Australia,NA
1975-10-01,GDP,Australia,NA
1976-01-01,GDP,Australia,NA
1976-04-01,GDP,Australia,NA
1976-07-01,GDP,Australia,NA
1976-10-01,GDP,Australia,NA
1977-01-01,GDP,Australia,NA
1977-04-01,GDP,Australia,NA
1977-07-01,GDP,Australia,NA
1977-10-01,GDP,Australia,NA
1978-01-01,GDP,Australia,NA
1978-04-01,GDP,Australia,NA
1978-07-01,GDP,Australia,NA
1978-10-01,GDP,Australia,NA
1979-01-01,GDP,Australia,NA
1979-04-01,GDP,Australia,NA
1979-07-01,GDP,Australia,NA
1979-10-01,GDP,Australia,NA
1980-01-01,GDP,Australia,NA
1980-04-01,GDP,Australia,NA
1980-07-01,GDP,Australia,NA
1980-10-01,GDP,Australia,NA
1981-01-01,GDP,Australia,NA
1981-04-01,GDP,Australia,NA
1981-07-01,GDP,Australia,NA
1981-10-01,GDP,Australia,NA
1982-01-01,GDP,Australia,NA
1982-04-01,GDP,Australia,NA
1982-07-01,GDP,Australia,NA
1982-10-01,GDP,Australia,NA
1983-01-01,GDP,Australia,NA
1983-04-01,GDP,Australia,NA
1983-07-01,GDP,Australia,NA
1983-10-01,GDP,Australia,NA
1984-01-01,GDP,Australia,NA
1984-04-01,GDP,Australia,NA
1984-07-01,GDP,Australia,NA
1984-10-01,GDP,Australia,NA
1985-01-01,GDP,Australia,NA
1985-04-01,GDP,Australia,NA
1985-07-01,GDP,Australia,NA
1985-10-01,GDP,Australia,NA
1986-01-01,GDP,Australia,NA
1986-04-01,GDP,Australia,NA
1986-07-01,GDP,Australia,NA
1986-10-01,GDP,Australia,NA
1987-01-01,GDP,Australia,NA
1987-04-01,GDP,Australia,NA
1987-07-01,GDP,Australia,0.0972419286406111
1987-10-01,GDP,Australia,-0.5864763755339468
1988-01-01,GDP,Australia,-0.6570941864873656
1988-04-01,GDP,Australia,-0.6188314595505502
1988-07-01,GDP,Australia,-0.6025303516468722
1988-10-01,GDP,Australia,-0.5868596056061709
1989-01-01,GDP,Australia,-0.4565036423579511
1989-04-01,GDP,Australia,-0.4261252729257816
1989-07-01,GDP,Australia,-0.4336346396715638
1989-10-01,GDP,Australia,-0.4564733260119917
1990-01-01,GDP,Australia,-0.46623439993849863
1990-04-01,GDP,Australia,-0.461762418332938
1990-07-01,GDP,Australia,-0.4693374922989949
1990-10-01,GDP,Australia,-0.4760836928133209
1991-01-01,GDP,Australia,-0.40751264578374996
1991-04-01,GDP,Australia,-0.41308816848151775
1991-07-01,GDP,Australia,-0.4247390545934093
1991-10-01,GDP,Australia,-0.41141951679648936
1992-01-01,GDP,Australia,-0.28666505660317665
1992-04-01,GDP,Australia,-0.13664506188773612
1992-07-01,GDP,Australia,-0.14908637557121837
1992-10-01,GDP,Australia,-0.09371196949782604
1993-01-01,GDP,Australia,0.012697057753608366
1993-04-01,GDP,Australia,0.04086513183030307
1993-07-01,GDP,Australia,0.06425571087497696
1993-10-01,GDP,Australia,0.043379441142895096
1994-01-01,GDP,Australia,-0.03235013973531978
1994-04-01,GDP,Australia,0.015326154761126363
1994-07-01,GDP,Australia,0.05504467618962956
1994-10-01,GDP,Australia,0.055606062292618594
1995-01-01,GDP,Australia,0.11150401188003078
1995-04-01,GDP,Australia,0.08824469421977514
1995-07-01,GDP,Australia,0.1354514382420684
1995-10-01,GDP,Australia,0.12179309409587298
1996-01-01,GDP,Australia,0.18181058109197915
1996-04-01,GDP,Australia,0.21746958618698997
1996-07-01,GDP,Australia,0.20635974599361395
1996-10-01,GDP,Australia,0.15334495095000175
1997-01-01,GDP,Australia,0.0025375317245612296
1997-04-01,GDP,Australia,0.05284455611784488
1997-07-01,GDP,Australia,0.01863062388054159
1997-10-01,GDP,Australia,0.06686711178994861
1998-01-01,GDP,Australia,0.023068727334878438
1998-04-01,GDP,Australia,-0.0653918188546209
1998-07-01,GDP,Australia,-0.33080881643875787
1998-10-01,GDP,Australia,-0.5037211014791706
1999-01-01,GDP,Australia,-0.5466683814577634
1999-04-01,GDP,Australia,-0.561761268635006
1999-07-01,GDP,Australia,-0.5761353214050342
1999-10-01,GDP,Australia,-0.5941068831218664
2000-01-01,GDP,Australia,-0.606212188138702
2000-04-01,GDP,Australia,-0.6337611228330625
2000-07-01,GDP,Australia,-0.6354705006384441
2000-10-01,GDP,Australia,-0.5881505194301324
2001-01-01,GDP,Australia,-0.5410582709805101
2001-04-01,GDP,Australia,-0.5024187791058076
2001-07-01,GDP,Australia,-0.4573154701248401
2001-10-01,GDP,Australia,-0.40171915874513103
2002-01-01,GDP,Australia,-0.32202520202515833
2002-04-01,GDP,Australia,-0.4454009262290794
2002-07-01,GDP,Australia,-0.4914162440471133
2002-10-01,GDP,Australia,-0.680883601187746
2003-01-01,GDP,Australia,-0.7116473331529535
2003-04-01,GDP,Australia,-0.7709133663851115
2003-07-01,GDP,Australia,-0.7797276718572721
2003-10-01,GDP,Australia,-0.7430740568931783
2004-01-01,GDP,Australia,-0.6762653189471686
2004-04-01,GDP,Australia,-0.6594555550165427
2004-07-01,GDP,Australia,-0.6744157080879047
2004-10-01,GDP,Australia,-0.4857604339818723
2005-01-01,GDP,Australia,-0.34741729345561556
2005-04-01,GDP,Australia,-0.10891188172690537
2005-07-01,GDP,Australia,0.03218483808640939
2005-10-01,GDP,Australia,0.020783925005945274
2006-01-01,GDP,Australia,-0.06942734254118274
2006-04-01,GDP,Australia,0.04362406326649964
2006-07-01,GDP,Australia,-0.03141587300801941
2006-10-01,GDP,Australia,-0.0889633569359214
2007-01-01,GDP,Australia,-0.10352794975740985
2007-04-01,GDP,Australia,-0.1573164569004338
