country,iso2,iso3,group,source,series_id,date,real_gdp
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1959-07-01,78679
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1959-10-01,79412
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1960-01-01,79810
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1960-04-01,81999
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1960-07-01,82177
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1960-10-01,82020
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1961-01-01,82274
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1961-04-01,81371
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1961-07-01,80780
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1961-10-01,81708
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1962-01-01,83993
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1962-04-01,85605
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1962-07-01,86291
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1962-10-01,87844
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1963-01-01,89878
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1963-04-01,88715
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1963-07-01,92355
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1963-10-01,94327
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1964-01-01,94168
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1964-04-01,96499
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1964-07-01,97093
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1964-10-01,99851
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1965-01-01,100696
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1965-04-01,102276
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1965-07-01,101969
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1965-10-01,102220
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1966-01-01,101924
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1966-04-01,103316
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1966-07-01,106235
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1966-10-01,106934
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1967-01-01,111116
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1967-04-01,110959
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1967-07-01,113040
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1967-10-01,114020
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1968-01-01,113001
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1968-04-01,117352
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1968-07-01,118899
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1968-10-01,123337
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1969-01-01,122488
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1969-04-01,124915
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1969-07-01,126980
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1969-10-01,129914
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1970-01-01,132600
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1970-04-01,135281
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1970-07-01,134997
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1970-10-01,135629
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1971-01-01,137274
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1971-04-01,137869
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1971-07-01,142180
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1971-10-01,141731
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1972-01-01,140039
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1972-04-01,143159
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1972-07-01,142435
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1972-10-01,143927
Australia,AU,AUS,Asia-Pacific,IMF IFS via DBnomics,Q.AU.NGDP_R_SA_XDC,1973-01-01,147662
